,y,e,g,u,q,a,b,j,s,n,o,i,x,r,t,z,m,k,f,w,l,h,p,v,c,d
q0-q54-q6,q0-q29,q14-q0,q13-q0,q0-q80-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q0-q55,q0,q14-q0-q81,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q56-q0-q7,q0,q14-q0-q28,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q57-q33-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q82-q0,q10-q0,q0,q0-q9,q59-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q8-q0-q58,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q26-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q27-q0,q0-q4,q3-q0-q83,q0,q0,q0-q2,q1-q0,q138-q0
q59-q0,q0,q14-q0,q13-q85-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q8-q0-q60,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q26-q0,q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q27-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0-q86
q3-q0-q61,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0-q87,q10-q0,q0,q0-q9,q0,q33-q0,q8-q0,q0,q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q62-q0-q9,q0,q88-q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0-q22,q0,q0-q7,q0-q23-q6,q0,q0,q0,q5-q0,q0-q24-q4,q3-q0,q0-q25,q0,q0-q2,q1-q0,q138-q0
q63-q0,q0,q14-q0,q13-q0,q0-q12,q0,q11-q0,q10-q0,q0,q89-q0-q9,q0,q0,q8-q0,q0,q0-q7,q90-q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
q11-q64-q0,q0,q14-q0,q13-q0,q20-q0-q12,q0,q11-q0,q10-q0,q0,q0-q9,q0,q0,q8-q0,q0,q91-q0-q7,q0-q6,q0,q0,q0,q5-q0,q0-q4,q3-q0,q0,q0,q0-q2,q1-q0,q138-q0
