Time,X,Y,Z,R,Theta,Phi,label
2.5199208,4.40174,6.646304,5.796362,9.856292,53.978588,56.484135,BUENO
2.5300488,4.40174,6.725313,5.734113,9.873459,54.495964,56.79512,BUENO
2.5399549,4.441244,6.78397,5.725733,9.926274,54.772388,56.78854,BUENO
2.5509031,4.479551,6.76362,5.74369,9.939965,54.701374,56.483456,BUENO
2.5599658,4.489128,6.692991,5.759252,9.905421,54.449223,56.149422,BUENO
2.570436,4.505888,6.592434,5.799953,9.86928,54.007633,55.64764,BUENO
2.5799081,4.481946,6.530185,5.808333,9.821807,53.745628,55.536522,BUENO
2.590436,4.423288,6.534974,5.802348,9.794826,53.673275,55.907345,BUENO
2.6001589,4.370615,6.576872,5.758055,9.773061,53.901428,56.394249,BUENO
2.6108959,4.314352,6.655881,5.664681,9.746948,54.466782,57.048634,BUENO
2.6199417,4.301183,6.731298,5.590461,9.750067,55.013973,57.422127,BUENO
2.6301928,4.349067,6.80911,5.559336,9.807374,55.468956,57.433098,BUENO
2.640172,4.460398,6.823475,5.628768,9.906462,55.375786,56.827988,BUENO
2.650605,4.583699,6.804321,5.720945,10.001915,55.11124,56.034008,BUENO
2.6599491,4.69503,6.740875,5.770026,10.03872,54.915977,55.142731,BUENO
2.670155,4.739322,6.655881,5.81791,10.030454,54.547722,54.547222,BUENO
2.68062,4.696227,6.569689,5.851429,9.972692,54.073624,54.441589,BUENO
2.690254,4.59567,6.569689,5.874174,9.93916,53.771069,55.026199,BUENO
2.6999328,4.511873,6.666655,5.829881,9.939256,54.087357,55.910557,BUENO
2.7099361,4.473566,6.799533,5.791574,9.989432,54.565628,56.65818,BUENO
2.719945,4.448427,6.872556,5.770026,10.015675,54.823322,57.086067,BUENO
2.7306218,4.446033,6.831854,5.760449,9.981193,54.751038,56.944736,BUENO
2.7399621,4.418499,6.727707,5.742493,9.887436,54.494099,56.704628,BUENO
2.7500951,4.414908,6.616376,5.711368,9.79222,54.320141,56.286015,BUENO
2.7601478,4.446033,6.575675,5.700594,9.772588,54.315254,55.936066,BUENO
2.7699378,4.473566,6.579266,5.656301,9.761827,54.589497,55.786293,BUENO
2.7799048,4.442441,6.600814,5.606023,9.733115,54.832115,56.058887,BUENO
2.7904909,4.309563,6.654684,5.536592,9.670108,55.071972,57.072964,BUENO
2.8000019,4.274847,6.701371,5.547365,9.693088,55.089153,57.465939,BUENO
2.810169,4.285621,6.72651,5.589264,9.739218,54.97789,57.497807,BUENO
2.8199959,4.371812,6.703765,5.646725,9.79483,54.795216,56.889908,BUENO
2.8300748,4.453215,6.634333,5.707777,9.819584,54.460457,56.128994,BUENO
2.8399558,4.507085,6.557718,5.70658,9.791963,54.353546,55.499466,BUENO
2.8502021,4.5418,6.524199,5.667076,9.762627,54.515213,55.156418,BUENO
2.8600559,4.614824,6.555324,5.626374,9.794128,54.937897,54.855179,BUENO
2.8699739,4.68665,6.630742,5.614403,9.871825,55.338291,54.747089,BUENO
2.87994,4.786009,6.768408,5.60722,10.007905,55.924896,54.735485,BUENO
2.890111,4.866215,6.915652,5.622783,10.154899,56.378674,54.867775,BUENO
2.8999529,4.93445,7.00304,5.711368,10.296168,56.309387,54.830887,BUENO
2.9099729,4.930859,7.013814,5.801151,10.351827,55.916622,54.891975,BUENO
2.9211159,4.85185,6.940791,5.841852,10.287967,55.400715,55.045139,BUENO
2.9300549,4.73214,6.856994,5.82629,10.166472,55.034111,55.389717,BUENO
2.939959,4.617218,6.786365,5.803545,10.05259,54.73785,55.769924,BUENO
2.9503269,4.556166,6.750452,5.754464,9.972015,54.75589,55.982918,BUENO
2.9600198,4.563348,6.752846,5.749675,9.974158,54.798256,55.950481,BUENO
2.970041,4.608838,6.786365,5.756858,10.021853,54.940243,55.818314,BUENO
2.980248,4.671088,6.833052,5.776011,10.093164,55.091354,55.64341,BUENO
2.9901681,4.708198,6.817489,5.827487,10.129407,54.879086,55.370815,BUENO
3.0001369,4.667496,6.720524,5.847837,10.057244,54.447041,55.21949,BUENO
3.010042,4.582502,6.600814,5.805939,9.913576,54.150696,55.230347,BUENO
3.0200498,4.461595,6.459556,5.722142,9.714659,53.912403,55.367283,BUENO
3.0300839,4.370615,6.388927,5.610812,9.560433,54.064201,55.624275,BUENO
3.0399129,4.301183,6.375759,5.515044,9.463942,54.356312,55.995804,BUENO
3.050216,4.291606,6.409278,5.444415,9.441313,54.784126,56.194019,BUENO
3.0600219,4.34787,6.477513,5.476737,9.531882,54.930454,56.12949,BUENO
3.0704608,4.398149,6.539762,5.538986,9.63289,54.89983,56.078213,BUENO
3.080826,4.43047,6.6068,5.58687,9.720698,54.918606,56.154491,BUENO
3.0903418,4.420894,6.679823,5.604826,9.776422,55.019306,56.502293,BUENO
3.1004589,4.389769,6.746861,5.628768,9.822079,55.035206,56.950413,BUENO
3.1098428,4.388572,6.82946,5.662287,9.897605,55.104137,57.275433,BUENO
3.1198578,4.434062,6.848614,5.700594,9.952949,55.057484,57.079395,BUENO
3.1299,4.481946,6.787562,5.738902,9.954588,54.794678,56.562523,BUENO
